name,latitude,longitude,pop2019,GrowthRate,area,Density
Nigeria,9.081999,8.675277,200963.599,1.0258,923768,217.5477
Niue,-19.054445,-169.867233,1.615,1.0068,260,6.2115
Norfolk Island,-29.040835,167.954712,,,,
North Korea,40.339852,127.510093,25666.161,1.0044,120538,212.93
Northern Mariana Islands,17.33083,145.38469,57.216,1.006,464,123.3103
Norway,60.472024,8.468946,5378.857,1.0079,323802,16.6116
Oman,21.512583,55.923255,4974.986,1.0265,309500,16.0743
Pakistan,30.375321,69.345116,216565.318,1.02,881912,245.5634
Palau,7.51498,134.58252,18.008,1.0048,459,39.2331
Palestinian Territories,31.952162,35.233154,4981.42,1.0241,6220,800.8714
Panama,8.537981,-80.782127,4246.439,1.0161,75417,56.3061
Papua New Guinea,-6.314993,143.95555,8776.109,1.0195,462840,18.9614
Paraguay,-23.442503,-58.443832,7044.636,1.0125,406752,17.3192
Peru,-9.189967,-75.015152,32510.453,1.0142,1285216,25.2957
Philippines,12.879721,121.774017,108116.615,1.0135,342353,315.8045
Pitcairn Islands,-24.703615,-127.439308,,,,
Poland,51.919438,19.145136,37887.768,0.9989,312679,121.1715
Portugal,39.399872,-8.224454,10226.187,0.9971,92090,111.0456
Puerto Rico,18.220833,-66.590149,2933.408,0.9753,8870,330.7112
Qatar,25.354826,51.183884,2832.067,1.0173,11586,244.4387
Reunion,-21.115141,55.536384,888.927,1.0072,2511,354.0131
Romania,45.943161,24.96676,19364.557,0.9934,238391,81.2302
Russia,61.52401,105.318756,145872.256,1.0004,17098242,8.5314
Rwanda,-1.940278,29.873888,12626.95,1.0258,26338,479.4195
Saint Helena,-24.143474,-10.030696,,,,
Saint Kitts and Nevis,17.357822,-62.782998,52.823,1.0071,261,202.387
Saint Lucia,13.909444,-60.978893,182.79,1.0046,616,296.737
Saint Pierre and Miquelon,46.941936,-56.27111,5.822,0.9952,242,24.0579
Saint Vincent and the Grenadines,12.984305,-61.287228,110.589,1.0032,389,284.2905
Samoa,-13.759029,-172.104629,197.097,1.0067,2842,69.3515
San Marino,43.94236,12.457777,33.86,1.0021,61,555.082
Sao Tome and Principe,0.18636,6.613081,215.056,1.0191,964,223.0871
